trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
17,False,"{'a': 0.75, 'e': 0.41812033521917696}",20,0,-47.04956108949098,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.75, 'e': 0.3972143184582181}",30,12,-90.3258805292217,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 2}",1
19,False,"{'a': 0.75, 'e': 0.37735360253530714}",30,0,11.182850197579299,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.75, 'e': 0.35848592240854177}",20,13,-22.526571692433667,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.75, 'e': 0.34056162628811465}",20,0,-0.6110814729232752,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.75, 'e': 0.3235335449737089}",20,12,-0.46084311433828606,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.75, 'e': 0.30735686772502346}",20,0,0.40010740757098096,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.75, 'e': 0.2919890243387723}",25,9,16.85920548232818,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.75, 'e': 0.27738957312183365}",20,9,5.847708561641289,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.75, 'e': 0.263520094465742}",25,11,-20.298773349930208,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.75, 'e': 0.25034408974245487}",25,3,-48.70544114814525,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
